,marketType,userType,individualGroup,dtYearMonth,eventSum,costOfPerson
165,식음료,내국인관광객,개별,201704,1540484,2288921
166,숙박,중국인관광객,개별,201704,9330884,10395053
167,숙박,내국인관광객,개별,201704,3580836,4446940
168,쇼핑,중국인관광객,단체,201704,1442001,2966798
169,쇼핑,중국인관광객,개별,201704,1047875,2282936
170,쇼핑,내국인관광객,개별,201704,727681,1559726
171,소매,중국인관광객,단체,201704,3702489,4383926
172,소매,중국인관광객,개별,201704,1552304,1803881
173,소매,내국인관광객,개별,201704,2020253,2585181
174,문화/레져,중국인관광객,단체,201704,1204301,1641802
175,문화/레져,중국인관광객,개별,201704,279234,315429
176,문화/레져,내국인관광객,개별,201704,1766810,2345570
177,기타,중국인관광객,단체,201704,3198654,3530534
178,기타,중국인관광객,개별,201704,292758,328279
179,기타,내국인관광객,개별,201704,1994837,3155684
180,교통,중국인관광객,단체,201704,19030,19030
181,교통,중국인관광객,개별,201704,193959,216902
182,교통,내국인관광객,개별,201704,1823467,2167193
183,유흥,중국인관광객,단체,201703,200273,208160
184,유흥,내국인관광객,개별,201703,4235527,5945827
185,식음료,중국인관광객,단체,201703,1249759,1429526
186,식음료,중국인관광객,개별,201703,547954,737010
187,식음료,내국인관광객,개별,201703,1435594,2160677
188,숙박,중국인관광객,개별,201703,4362371,4804877
189,숙박,내국인관광객,개별,201703,3129712,3891098
190,쇼핑,중국인관광객,단체,201703,1224485,2187793
191,쇼핑,중국인관광객,개별,201703,879793,1970963
192,쇼핑,내국인관광객,개별,201703,732794,1608226
193,소매,중국인관광객,단체,201703,4170637,4823278
194,소매,중국인관광객,개별,201703,2118808,2464631
195,소매,내국인관광객,개별,201703,2107987,2677928
196,문화/레져,중국인관광객,단체,201703,460298,481608
197,문화/레져,중국인관광객,개별,201703,180709,202607
198,문화/레져,내국인관광객,개별,201703,1870582,2454381
199,기타,중국인관광객,단체,201703,7031681,7621144
200,기타,중국인관광객,개별,201703,79176,89073
201,기타,내국인관광객,개별,201703,2215727,3666922
202,교통,중국인관광객,단체,201703,22167,25059
203,교통,중국인관광객,개별,201703,216004,226514
204,교통,내국인관광객,개별,201703,1750626,2091196
205,유흥,중국인관광객,단체,201702,114613,118832
206,유흥,중국인관광객,개별,201702,165575,206969
207,유흥,내국인관광객,개별,201702,4000422,5419976
208,식음료,중국인관광객,단체,201702,1712488,1898773
209,식음료,중국인관광객,개별,201702,951844,1145903
210,식음료,내국인관광객,개별,201702,1527098,2224076
211,숙박,중국인관광객,개별,201702,8106044,8670880
