,sido,sigungu,cityGubun,marketType,userType,ageGroup,gender,dtYearMonth,userCount,useCount,useCost
97,제주도,제주시,읍면,소매,제주도민,50대,여,201812,551,814,91455900
98,제주도,제주시,읍면,소매,제주도민,50대,남,201812,793,1136,87242050
99,제주도,제주시,읍면,소매,제주도민,40대,여,201812,605,908,52214818
100,제주도,제주시,읍면,소매,제주도민,40대,남,201812,876,1421,85809709
101,제주도,제주시,읍면,소매,제주도민,30대,여,201812,415,559,19368472
102,제주도,제주시,읍면,소매,제주도민,30대,남,201812,549,800,30633549
103,제주도,제주시,읍면,소매,제주도민,20대미만,여,201812,21,22,460100
104,제주도,제주시,읍면,소매,제주도민,20대미만,남,201812,17,19,891350
105,제주도,제주시,읍면,소매,제주도민,20대,여,201812,253,316,7277936
106,제주도,제주시,읍면,소매,제주도민,20대,남,201812,309,455,11192127
107,제주도,제주시,읍면,소매,내국인관광객,60대이상,여,201812,364,431,25605260
108,제주도,제주시,읍면,소매,내국인관광객,60대이상,남,201812,449,543,29258380
109,제주도,제주시,읍면,소매,내국인관광객,50대,여,201812,821,1011,42650004
110,제주도,제주시,읍면,소매,내국인관광객,50대,남,201812,894,1095,46510728
111,제주도,제주시,읍면,소매,내국인관광객,40대,여,201812,878,1055,33348670
112,제주도,제주시,읍면,소매,내국인관광객,40대,남,201812,966,1233,39875744
113,제주도,제주시,읍면,소매,내국인관광객,30대,여,201812,1288,1496,41784812
114,제주도,제주시,읍면,소매,내국인관광객,30대,남,201812,1173,1435,45362981
115,제주도,제주시,읍면,소매,내국인관광객,20대미만,여,201812,59,69,1313330
116,제주도,제주시,읍면,소매,내국인관광객,20대미만,남,201812,39,52,911950
117,제주도,제주시,읍면,소매,내국인관광객,20대,여,201812,1982,2235,49819370
118,제주도,제주시,읍면,소매,내국인관광객,20대,남,201812,906,1033,25949630
119,제주도,제주시,읍면,문화/레져,제주도민,60대이상,여,201812,132,184,14549585
120,제주도,제주시,읍면,문화/레져,제주도민,60대이상,남,201812,456,657,59904433
121,제주도,제주시,읍면,문화/레져,제주도민,50대,여,201812,362,471,42665895
122,제주도,제주시,읍면,문화/레져,제주도민,50대,남,201812,1123,1475,134603945
123,제주도,제주시,읍면,문화/레져,제주도민,40대,여,201812,505,684,53684750
124,제주도,제주시,읍면,문화/레져,제주도민,40대,남,201812,1075,1452,104342197
125,제주도,제주시,읍면,문화/레져,제주도민,30대,여,201812,498,677,17751410
126,제주도,제주시,읍면,문화/레져,제주도민,30대,남,201812,529,756,30211280
127,제주도,제주시,읍면,문화/레져,제주도민,20대미만,여,201812,17,26,241900
128,제주도,제주시,읍면,문화/레져,제주도민,20대미만,남,201812,39,139,918590
129,제주도,제주시,읍면,문화/레져,제주도민,20대,여,201812,169,243,3532100
130,제주도,제주시,읍면,문화/레져,제주도민,20대,남,201812,224,698,7486110
131,제주도,제주시,읍면,문화/레져,내국인관광객,60대이상,여,201812,329,427,33559556
132,제주도,제주시,읍면,문화/레져,내국인관광객,60대이상,남,201812,798,1143,145922497
133,제주도,제주시,읍면,문화/레져,내국인관광객,50대,여,201812,825,1018,58400300
134,제주도,제주시,읍면,문화/레져,내국인관광객,50대,남,201812,1630,2052,205865840
135,제주도,제주시,읍면,문화/레져,내국인관광객,40대,여,201812,1083,1400,57508545
136,제주도,제주시,읍면,문화/레져,내국인관광객,40대,남,201812,1578,2006,122473935
137,제주도,제주시,읍면,문화/레져,내국인관광객,30대,여,201812,1159,1441,44757300
138,제주도,제주시,읍면,문화/레져,내국인관광객,30대,남,201812,1165,1445,48655890
139,제주도,제주시,읍면,문화/레져,내국인관광객,20대미만,여,201812,31,33,629900
140,제주도,제주시,읍면,문화/레져,내국인관광객,20대미만,남,201812,31,34,727700
141,제주도,제주시,읍면,문화/레져,내국인관광객,20대,여,201812,969,1114,18900235
142,제주도,제주시,읍면,문화/레져,내국인관광객,20대,남,201812,716,967,17121310
143,제주도,제주시,읍면,교통,제주도민,60대이상,여,201812,1281,2355,219347989
144,제주도,제주시,읍면,교통,제주도민,60대이상,남,201812,4168,9866,921060041
145,제주도,제주시,읍면,교통,제주도민,50대,여,201812,1378,2288,170954860
146,제주도,제주시,읍면,교통,제주도민,50대,남,201812,3031,6292,531541227
147,제주도,제주시,읍면,교통,제주도민,40대,여,201812,1346,2182,150404194
148,제주도,제주시,읍면,교통,제주도민,40대,남,201812,2543,4746,401682962
149,제주도,제주시,읍면,교통,제주도민,30대,여,201812,917,1395,79875110
150,제주도,제주시,읍면,교통,제주도민,30대,남,201812,1321,2189,127771280
151,제주도,제주시,읍면,교통,제주도민,20대미만,여,201812,4,7,256358
152,제주도,제주시,읍면,교통,제주도민,20대미만,남,201812,11,13,556617
153,제주도,제주시,읍면,교통,제주도민,20대,여,201812,300,409,19972931
154,제주도,제주시,읍면,교통,제주도민,20대,남,201812,469,738,33131050
155,제주도,제주시,읍면,교통,내국인관광객,60대이상,여,201812,451,559,28560555
156,제주도,제주시,읍면,교통,내국인관광객,60대이상,남,201812,1181,1467,85914244
157,제주도,제주시,읍면,교통,내국인관광객,50대,여,201812,1129,1420,70322221
158,제주도,제주시,읍면,교통,내국인관광객,50대,남,201812,2610,3239,187875865
159,제주도,제주시,읍면,교통,내국인관광객,40대,여,201812,1337,1680,73711183
160,제주도,제주시,읍면,교통,내국인관광객,40대,남,201812,2857,3627,197872983
161,제주도,제주시,읍면,교통,내국인관광객,30대,여,201812,1562,1890,63559241
162,제주도,제주시,읍면,교통,내국인관광객,30대,남,201812,2864,3384,142231817
